22,23/05/21,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/05/21&Racecourse=ST&RaceNo=7,TENPIN BOWLING 1000M HANDICAP,ST,Turf,"""C+3""",1000,G,3,02,F C Lor,H Bentley,1/2,134,0.55.60,PC
31,競馬場コード,競馬場,国名,レース日付,Date_L,Video,Sectional,レース名,レース格,レースNo,レース他,レース名省略,出走条件（性別）,馬場の種類,障害数,障害レース確認,出走条件（クラス）,出走条件（他）,出走条件（年齢）,距離,コース形態,コース詳細,馬場状態,総賞金,着賞金,通過タイム01,通過タイム02,通過タイム03,通過タイム04,通過タイム05,finishタイム,レースSectionalタイム01,レースSectionalタイム02,レースSectionalタイム03,レースSectionalタイム04,レースSectionalタイム05,レースSectionalタイム06,レースSectionalタイム内訳01,レースSectionalタイム内訳02,レースSectionalタイム内訳03,レースSectionalタイム内訳04,馬別Sectionalタイム01,馬別Sectionalタイム02,馬別Sectionalタイム03,馬別Sectionalタイム04,馬別Sectionalタイム05,馬別Sectionalタイム06,馬別Sectionalタイム内訳01,馬別Sectionalタイム内訳02,馬別Sectionalタイム内訳03,馬別Sectionalタイム内訳04,通過順位01,通過順位02,通過順位03,通過順位04,通過順位05,入線順位,確定順位,異常区分,同着,着変更,馬番号,ゲート番号,着差1,着差2,馬名,馬ID,生産国,オッズ,馬齢,馬体重,斤量,斤量特記1,斤量特記2,補助馬具,調教師,騎手,毛色,性別,父名,母名,母父名,出走頭数,タイム,優勝馬オーナー,優勝馬生産者,コメント
32,ST,Sha Tin,HK,2023/05/21,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/05/21&Racecourse=ST&RaceNo=7,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20230521&no=07&lang=eng,https://racing.hkjc.com/racing/information/English/Racing/DisplaySectionalTime.aspx?RaceDate=21/05/2023&RaceNo=7,TENPIN BOWLING 1000M HANDICAP,Class 3,RACE 7,,,,TURF,,,,,,1000M,,,GOOD,"HK$ 1,725,000",,13.07,33.22,,,,55.51,13.07,20.15,22.29,,,,09.91,10.24,10.62,11.67,13.07,20.15,22.29,,,,09.91,10.24,10.62,11.67,1,1,,,,1,1,,,,8,11,-,,KA YING SPIRIT,E217,,6.3,,1161,120,,,,C S Shum,M F Poon,,,,,,11,0:55.51,,,"FLYING DRAGON and RUN RUN COOL jumped only fairly.
CHATEAU and JUMBO LEGEND bumped at the start.
Over the concluding stages, FLYING DRAGON raced tight between METRO WARRIOR (K Teetan) and PLEASANT ENDEAVOR which shifted out. In this incident, FLYING DRAGON was accidentally struck across the nose by the whip of K Teetan.
When placed under pressure in the Straight, TOMODACHI KOKOROE was inclined to shift ground and proved difficult to ride out.
After the race, Apprentice Y L Chung (CALIFORNIA DEEPLY) expressed some concerns with his mount’s action. A veterinary inspection of CALIFORNIA DEEPLY immediately following the race did not show any significant findings. Before being allowed to race again, CALIFORNIA DEEPLY will be subjected to an official veterinary examination.
A veterinary inspection of FLYING HIGH immediately following the race found that horse to have bled from both nostrils.
PLEASANT ENDEAVOR, KA YING SPIRIT and RUN RUN COOL were sent for sampling."
32,ST,Sha Tin,HK,2023/05/21,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/05/21&Racecourse=ST&RaceNo=7,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20230521&no=07&lang=eng,https://racing.hkjc.com/racing/information/English/Racing/DisplaySectionalTime.aspx?RaceDate=21/05/2023&RaceNo=7,TENPIN BOWLING 1000M HANDICAP,Class 3,RACE 7,,,,TURF,,,,,,1000M,,,GOOD,"HK$ 1,725,000",,13.07,33.22,,,,55.51,13.07,20.15,22.29,,,,09.91,10.24,10.62,11.67,13.43,20.19,21.98,,,,10.03,10.16,10.58,11.40,9,6,,,,2,2,,,,2,7,1/2,,RUN RUN COOL,E322,,36,,1205,134,,,,F C Lor,H Bentley,,,,,,11,0:55.60,,,"FLYING DRAGON and RUN RUN COOL jumped only fairly.
CHATEAU and JUMBO LEGEND bumped at the start.
Over the concluding stages, FLYING DRAGON raced tight between METRO WARRIOR (K Teetan) and PLEASANT ENDEAVOR which shifted out. In this incident, FLYING DRAGON was accidentally struck across the nose by the whip of K Teetan.
When placed under pressure in the Straight, TOMODACHI KOKOROE was inclined to shift ground and proved difficult to ride out.
After the race, Apprentice Y L Chung (CALIFORNIA DEEPLY) expressed some concerns with his mount’s action. A veterinary inspection of CALIFORNIA DEEPLY immediately following the race did not show any significant findings. Before being allowed to race again, CALIFORNIA DEEPLY will be subjected to an official veterinary examination.
A veterinary inspection of FLYING HIGH immediately following the race found that horse to have bled from both nostrils.
PLEASANT ENDEAVOR, KA YING SPIRIT and RUN RUN COOL were sent for sampling."
32,ST,Sha Tin,HK,2023/05/21,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/05/21&Racecourse=ST&RaceNo=7,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20230521&no=07&lang=eng,https://racing.hkjc.com/racing/information/English/Racing/DisplaySectionalTime.aspx?RaceDate=21/05/2023&RaceNo=7,TENPIN BOWLING 1000M HANDICAP,Class 3,RACE 7,,,,TURF,,,,,,1000M,,,GOOD,"HK$ 1,725,000",,13.07,33.22,,,,55.51,13.07,20.15,22.29,,,,09.91,10.24,10.62,11.67,13.19,20.11,22.32,,,,09.91,10.20,10.74,11.58,3,3,,,,3,3,,,,3,5,3/4,,PLEASANT ENDEAVOR,E114,,3.9,,1210,123,,,,P F Yiu,E C W Wong,,,,,,11,0:55.62,,,"FLYING DRAGON and RUN RUN COOL jumped only fairly.
CHATEAU and JUMBO LEGEND bumped at the start.
Over the concluding stages, FLYING DRAGON raced tight between METRO WARRIOR (K Teetan) and PLEASANT ENDEAVOR which shifted out. In this incident, FLYING DRAGON was accidentally struck across the nose by the whip of K Teetan.
When placed under pressure in the Straight, TOMODACHI KOKOROE was inclined to shift ground and proved difficult to ride out.
After the race, Apprentice Y L Chung (CALIFORNIA DEEPLY) expressed some concerns with his mount’s action. A veterinary inspection of CALIFORNIA DEEPLY immediately following the race did not show any significant findings. Before being allowed to race again, CALIFORNIA DEEPLY will be subjected to an official veterinary examination.
A veterinary inspection of FLYING HIGH immediately following the race found that horse to have bled from both nostrils.
PLEASANT ENDEAVOR, KA YING SPIRIT and RUN RUN COOL were sent for sampling."
32,ST,Sha Tin,HK,2023/05/21,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/05/21&Racecourse=ST&RaceNo=7,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20230521&no=07&lang=eng,https://racing.hkjc.com/racing/information/English/Racing/DisplaySectionalTime.aspx?RaceDate=21/05/2023&RaceNo=7,TENPIN BOWLING 1000M HANDICAP,Class 3,RACE 7,,,,TURF,,,,,,1000M,,,GOOD,"HK$ 1,725,000",,13.07,33.22,,,,55.51,13.07,20.15,22.29,,,,09.91,10.24,10.62,11.67,13.07,20.27,22.37,,,,09.99,10.28,10.74,11.63,2,4,,,,4,4,,,,7,8,1-1/4,,METRO WARRIOR,D387,,6.6,,1194,128,,,,D A Hayes,K Teetan,,,,,,11,0:55.71,,,"FLYING DRAGON and RUN RUN COOL jumped only fairly.
CHATEAU and JUMBO LEGEND bumped at the start.
Over the concluding stages, FLYING DRAGON raced tight between METRO WARRIOR (K Teetan) and PLEASANT ENDEAVOR which shifted out. In this incident, FLYING DRAGON was accidentally struck across the nose by the whip of K Teetan.
When placed under pressure in the Straight, TOMODACHI KOKOROE was inclined to shift ground and proved difficult to ride out.
After the race, Apprentice Y L Chung (CALIFORNIA DEEPLY) expressed some concerns with his mount’s action. A veterinary inspection of CALIFORNIA DEEPLY immediately following the race did not show any significant findings. Before being allowed to race again, CALIFORNIA DEEPLY will be subjected to an official veterinary examination.
A veterinary inspection of FLYING HIGH immediately following the race found that horse to have bled from both nostrils.
PLEASANT ENDEAVOR, KA YING SPIRIT and RUN RUN COOL were sent for sampling."
32,ST,Sha Tin,HK,2023/05/21,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/05/21&Racecourse=ST&RaceNo=7,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20230521&no=07&lang=eng,https://racing.hkjc.com/racing/information/English/Racing/DisplaySectionalTime.aspx?RaceDate=21/05/2023&RaceNo=7,TENPIN BOWLING 1000M HANDICAP,Class 3,RACE 7,,,,TURF,,,,,,1000M,,,GOOD,"HK$ 1,725,000",,13.07,33.22,,,,55.51,13.07,20.15,22.29,,,,09.91,10.24,10.62,11.67,13.27,20.27,22.24,,,,09.99,10.28,10.70,11.54,5,5,,,,5,5,,,,4,6,1-3/4,,BEAUTY TYCOON,G329,,9.6,,1032,131,,,,J Size,Z Purton,,,,,,11,0:55.78,,,"FLYING DRAGON and RUN RUN COOL jumped only fairly.
CHATEAU and JUMBO LEGEND bumped at the start.
Over the concluding stages, FLYING DRAGON raced tight between METRO WARRIOR (K Teetan) and PLEASANT ENDEAVOR which shifted out. In this incident, FLYING DRAGON was accidentally struck across the nose by the whip of K Teetan.
When placed under pressure in the Straight, TOMODACHI KOKOROE was inclined to shift ground and proved difficult to ride out.
After the race, Apprentice Y L Chung (CALIFORNIA DEEPLY) expressed some concerns with his mount’s action. A veterinary inspection of CALIFORNIA DEEPLY immediately following the race did not show any significant findings. Before being allowed to race again, CALIFORNIA DEEPLY will be subjected to an official veterinary examination.
A veterinary inspection of FLYING HIGH immediately following the race found that horse to have bled from both nostrils.
PLEASANT ENDEAVOR, KA YING SPIRIT and RUN RUN COOL were sent for sampling."
32,ST,Sha Tin,HK,2023/05/21,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/05/21&Racecourse=ST&RaceNo=7,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20230521&no=07&lang=eng,https://racing.hkjc.com/racing/information/English/Racing/DisplaySectionalTime.aspx?RaceDate=21/05/2023&RaceNo=7,TENPIN BOWLING 1000M HANDICAP,Class 3,RACE 7,,,,TURF,,,,,,1000M,,,GOOD,"HK$ 1,725,000",,13.07,33.22,,,,55.51,13.07,20.15,22.29,,,,09.91,10.24,10.62,11.67,13.43,20.27,22.10,,,,10.03,10.24,10.62,11.48,7,7,,,,6,6,,,,11,9,1-3/4,,FLYING DRAGON,E360,,33,,1234,112,,,,C H Yip,C Wong,,,,,,11,0:55.80,,,"FLYING DRAGON and RUN RUN COOL jumped only fairly.
CHATEAU and JUMBO LEGEND bumped at the start.
Over the concluding stages, FLYING DRAGON raced tight between METRO WARRIOR (K Teetan) and PLEASANT ENDEAVOR which shifted out. In this incident, FLYING DRAGON was accidentally struck across the nose by the whip of K Teetan.
When placed under pressure in the Straight, TOMODACHI KOKOROE was inclined to shift ground and proved difficult to ride out.
After the race, Apprentice Y L Chung (CALIFORNIA DEEPLY) expressed some concerns with his mount’s action. A veterinary inspection of CALIFORNIA DEEPLY immediately following the race did not show any significant findings. Before being allowed to race again, CALIFORNIA DEEPLY will be subjected to an official veterinary examination.
A veterinary inspection of FLYING HIGH immediately following the race found that horse to have bled from both nostrils.
PLEASANT ENDEAVOR, KA YING SPIRIT and RUN RUN COOL were sent for sampling."
32,ST,Sha Tin,HK,2023/05/21,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/05/21&Racecourse=ST&RaceNo=7,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20230521&no=07&lang=eng,https://racing.hkjc.com/racing/information/English/Racing/DisplaySectionalTime.aspx?RaceDate=21/05/2023&RaceNo=7,TENPIN BOWLING 1000M HANDICAP,Class 3,RACE 7,,,,TURF,,,,,,1000M,,,GOOD,"HK$ 1,725,000",,13.07,33.22,,,,55.51,13.07,20.15,22.29,,,,09.91,10.24,10.62,11.67,13.23,19.99,22.61,,,,09.75,10.24,10.74,11.87,4,2,,,,7,7,,,,10,4,2,,TOMODACHI KOKOROE,H303,,7.3,,1189,119,,,,D A Hayes,L Hewitson,,,,,,11,0:55.83,,,"FLYING DRAGON and RUN RUN COOL jumped only fairly.
CHATEAU and JUMBO LEGEND bumped at the start.
Over the concluding stages, FLYING DRAGON raced tight between METRO WARRIOR (K Teetan) and PLEASANT ENDEAVOR which shifted out. In this incident, FLYING DRAGON was accidentally struck across the nose by the whip of K Teetan.
When placed under pressure in the Straight, TOMODACHI KOKOROE was inclined to shift ground and proved difficult to ride out.
After the race, Apprentice Y L Chung (CALIFORNIA DEEPLY) expressed some concerns with his mount’s action. A veterinary inspection of CALIFORNIA DEEPLY immediately following the race did not show any significant findings. Before being allowed to race again, CALIFORNIA DEEPLY will be subjected to an official veterinary examination.
A veterinary inspection of FLYING HIGH immediately following the race found that horse to have bled from both nostrils.
PLEASANT ENDEAVOR, KA YING SPIRIT and RUN RUN COOL were sent for sampling."
32,ST,Sha Tin,HK,2023/05/21,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/05/21&Racecourse=ST&RaceNo=7,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20230521&no=07&lang=eng,https://racing.hkjc.com/racing/information/English/Racing/DisplaySectionalTime.aspx?RaceDate=21/05/2023&RaceNo=7,TENPIN BOWLING 1000M HANDICAP,Class 3,RACE 7,,,,TURF,,,,,,1000M,,,GOOD,"HK$ 1,725,000",,13.07,33.22,,,,55.51,13.07,20.15,22.29,,,,09.91,10.24,10.62,11.67,13.43,20.59,22.06,,,,10.15,10.44,10.70,11.36,6,9,,,,8,8,,,,1,10,3-1/2,,CALIFORNIA DEEPLY,G451,,5.3,,1097,128,,,,A S Cruz,Y L Chung,,,,,,11,0:56.08,,,"FLYING DRAGON and RUN RUN COOL jumped only fairly.
CHATEAU and JUMBO LEGEND bumped at the start.
Over the concluding stages, FLYING DRAGON raced tight between METRO WARRIOR (K Teetan) and PLEASANT ENDEAVOR which shifted out. In this incident, FLYING DRAGON was accidentally struck across the nose by the whip of K Teetan.
When placed under pressure in the Straight, TOMODACHI KOKOROE was inclined to shift ground and proved difficult to ride out.
After the race, Apprentice Y L Chung (CALIFORNIA DEEPLY) expressed some concerns with his mount’s action. A veterinary inspection of CALIFORNIA DEEPLY immediately following the race did not show any significant findings. Before being allowed to race again, CALIFORNIA DEEPLY will be subjected to an official veterinary examination.
A veterinary inspection of FLYING HIGH immediately following the race found that horse to have bled from both nostrils.
PLEASANT ENDEAVOR, KA YING SPIRIT and RUN RUN COOL were sent for sampling."
32,ST,Sha Tin,HK,2023/05/21,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/05/21&Racecourse=ST&RaceNo=7,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20230521&no=07&lang=eng,https://racing.hkjc.com/racing/information/English/Racing/DisplaySectionalTime.aspx?RaceDate=21/05/2023&RaceNo=7,TENPIN BOWLING 1000M HANDICAP,Class 3,RACE 7,,,,TURF,,,,,,1000M,,,GOOD,"HK$ 1,725,000",,13.07,33.22,,,,55.51,13.07,20.15,22.29,,,,09.91,10.24,10.62,11.67,13.43,20.43,22.23,,,,10.03,10.40,10.70,11.53,8,8,,,,9,9,,,,5,3,3-3/4,,FLYING HIGH,E204,,7.7,,1094,131,,,,W Y So,M Chadwick,,,,,,11,0:56.09,,,"FLYING DRAGON and RUN RUN COOL jumped only fairly.
CHATEAU and JUMBO LEGEND bumped at the start.
Over the concluding stages, FLYING DRAGON raced tight between METRO WARRIOR (K Teetan) and PLEASANT ENDEAVOR which shifted out. In this incident, FLYING DRAGON was accidentally struck across the nose by the whip of K Teetan.
When placed under pressure in the Straight, TOMODACHI KOKOROE was inclined to shift ground and proved difficult to ride out.
After the race, Apprentice Y L Chung (CALIFORNIA DEEPLY) expressed some concerns with his mount’s action. A veterinary inspection of CALIFORNIA DEEPLY immediately following the race did not show any significant findings. Before being allowed to race again, CALIFORNIA DEEPLY will be subjected to an official veterinary examination.
A veterinary inspection of FLYING HIGH immediately following the race found that horse to have bled from both nostrils.
PLEASANT ENDEAVOR, KA YING SPIRIT and RUN RUN COOL were sent for sampling."
32,ST,Sha Tin,HK,2023/05/21,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/05/21&Racecourse=ST&RaceNo=7,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20230521&no=07&lang=eng,https://racing.hkjc.com/racing/information/English/Racing/DisplaySectionalTime.aspx?RaceDate=21/05/2023&RaceNo=7,TENPIN BOWLING 1000M HANDICAP,Class 3,RACE 7,,,,TURF,,,,,,1000M,,,GOOD,"HK$ 1,725,000",,13.07,33.22,,,,55.51,13.07,20.15,22.29,,,,09.91,10.24,10.62,11.67,13.67,20.67,22.21,,,,10.27,10.40,10.78,11.43,10,11,,,,10,10,,,,6,2,6-1/2,,CHATEAU,H214,,60,,1069,130,,,,J Size,A Badel,,,,,,11,0:56.55,,,"FLYING DRAGON and RUN RUN COOL jumped only fairly.
CHATEAU and JUMBO LEGEND bumped at the start.
Over the concluding stages, FLYING DRAGON raced tight between METRO WARRIOR (K Teetan) and PLEASANT ENDEAVOR which shifted out. In this incident, FLYING DRAGON was accidentally struck across the nose by the whip of K Teetan.
When placed under pressure in the Straight, TOMODACHI KOKOROE was inclined to shift ground and proved difficult to ride out.
After the race, Apprentice Y L Chung (CALIFORNIA DEEPLY) expressed some concerns with his mount’s action. A veterinary inspection of CALIFORNIA DEEPLY immediately following the race did not show any significant findings. Before being allowed to race again, CALIFORNIA DEEPLY will be subjected to an official veterinary examination.
A veterinary inspection of FLYING HIGH immediately following the race found that horse to have bled from both nostrils.
PLEASANT ENDEAVOR, KA YING SPIRIT and RUN RUN COOL were sent for sampling."
32,ST,Sha Tin,HK,2023/05/21,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/05/21&Racecourse=ST&RaceNo=7,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20230521&no=07&lang=eng,https://racing.hkjc.com/racing/information/English/Racing/DisplaySectionalTime.aspx?RaceDate=21/05/2023&RaceNo=7,TENPIN BOWLING 1000M HANDICAP,Class 3,RACE 7,,,,TURF,,,,,,1000M,,,GOOD,"HK$ 1,725,000",,13.07,33.22,,,,55.51,13.07,20.15,22.29,,,,09.91,10.24,10.62,11.67,13.83,20.35,22.39,,,,10.03,10.32,10.86,11.53,11,10,,,,11,11,,,,9,1,6-3/4,,JUMBO LEGEND,G266,,64,,1084,119,,,,C Fownes,L Currie,,,,,,11,0:56.57,,,"FLYING DRAGON and RUN RUN COOL jumped only fairly.
CHATEAU and JUMBO LEGEND bumped at the start.
Over the concluding stages, FLYING DRAGON raced tight between METRO WARRIOR (K Teetan) and PLEASANT ENDEAVOR which shifted out. In this incident, FLYING DRAGON was accidentally struck across the nose by the whip of K Teetan.
When placed under pressure in the Straight, TOMODACHI KOKOROE was inclined to shift ground and proved difficult to ride out.
After the race, Apprentice Y L Chung (CALIFORNIA DEEPLY) expressed some concerns with his mount’s action. A veterinary inspection of CALIFORNIA DEEPLY immediately following the race did not show any significant findings. Before being allowed to race again, CALIFORNIA DEEPLY will be subjected to an official veterinary examination.
A veterinary inspection of FLYING HIGH immediately following the race found that horse to have bled from both nostrils.
PLEASANT ENDEAVOR, KA YING SPIRIT and RUN RUN COOL were sent for sampling."
21,Date,Date_L,レース名,競馬場略称,馬場,コース,距離,馬場状態,レース格,着順,調教師,騎手,着差,斤量,タイム,補助馬具
22,23/05/07,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/05/07&Racecourse=ST&RaceNo=10,MAGNOLIA HANDICAP,ST,Turf,"""B""",1000,S,3,08,F C Lor,H Bentley,5,135,0.57.89,PC
31,競馬場コード,競馬場,国名,レース日付,Date_L,Video,Sectional,レース名,レース格,レースNo,レース他,レース名省略,出走条件（性別）,馬場の種類,障害数,障害レース確認,出走条件（クラス）,出走条件（他）,出走条件（年齢）,距離,コース形態,コース詳細,馬場状態,総賞金,着賞金,通過タイム01,通過タイム02,通過タイム03,通過タイム04,通過タイム05,finishタイム,レースSectionalタイム01,レースSectionalタイム02,レースSectionalタイム03,レースSectionalタイム04,レースSectionalタイム05,レースSectionalタイム06,レースSectionalタイム内訳01,レースSectionalタイム内訳02,レースSectionalタイム内訳03,レースSectionalタイム内訳04,馬別Sectionalタイム01,馬別Sectionalタイム02,馬別Sectionalタイム03,馬別Sectionalタイム04,馬別Sectionalタイム05,馬別Sectionalタイム06,馬別Sectionalタイム内訳01,馬別Sectionalタイム内訳02,馬別Sectionalタイム内訳03,馬別Sectionalタイム内訳04,通過順位01,通過順位02,通過順位03,通過順位04,通過順位05,入線順位,確定順位,異常区分,同着,着変更,馬番号,ゲート番号,着差1,着差2,馬名,馬ID,生産国,オッズ,馬齢,馬体重,斤量,斤量特記1,斤量特記2,補助馬具,調教師,騎手,毛色,性別,父名,母名,母父名,出走頭数,タイム,優勝馬オーナー,優勝馬生産者,コメント
32,ST,Sha Tin,HK,2023/05/07,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/05/07&Racecourse=ST&RaceNo=10,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20230507&no=10&lang=eng,https://racing.hkjc.com/racing/information/English/Racing/DisplaySectionalTime.aspx?RaceDate=07/05/2023&RaceNo=10,MAGNOLIA HANDICAP,Class 3,RACE 10,,,,TURF,,,,,,1000M,,,SOFT,"HK$ 1,725,000",,12.85,33.72,,,,57.07,12.85,20.87,23.35,,,,10.13,10.74,11.35,12.00,13.33,20.67,23.07,,,,10.13,10.54,11.15,11.92,11,6,,,,1,1,,,,8,13,-,,FLYING HIGH,E204,,10,,1088,125,,,,W Y So,M Chadwick,,,,,,14,0:57.07,,,"QUADRUPLE DOUBLE was withdrawn on 5.5.23 by order of the Stewards acting on veterinary advice (lame left fore) and was replaced by Standby Declared Starter MAN STAR (C Wong). Before being allowed to race again, QUADRUPLE DOUBLE will be subjected to an official veterinary examination.
TOMODACHI KOKOROE shifted in at the start and bumped CHEVAL VALIANT.
HAPPY DAILY jumped only fairly, shifted out and bumped with BRILLIANT LIFE.
CHATEAU was slow to begin.
RUN RUN COOL and INVINCIBLE SAGE were crowded on jumping between MAN STAR and PLEASANT ENDEAVOR, both of which shifted ground.
Approaching the 800 Metres, DROPS OF GOD was steadied to avoid the heels of TOMODACHI KOKOROE which was taken out by CHEAVL VALIANT (Apprentice Y L Chung). Apprentice Chung was reprimanded.
From the 400 Metres, INVINCIBLE SAGE was held up for clear running behind PLEASANT ENDEAVOR. Approaching the 200 Metres, INVINCIBLE SAGE (H Bowman) then improved into a doubtful run between BRILLIANT LIFE and PLEASANT ENDEAVOR, resulting in INVINCIBLE SAGE making contact with the hindquarters of PLEASANT ENDEAVOR, turning that runner in which resulted in INVINCIBLE SAGE being checked and taken in onto BRILLIANT LIFE and making heavy contact with BRILLIANT LIFE when that runner was racing tight to the outside of RED ELEGANCE which, after being crowded by CHEVAL VALIANT, was taken out slightly by that runner. H Bowman was severely reprimanded and advised he must ensure that there is sufficient racing room when improving into runs. Apprentice Chung was reprimanded and advised that he must stop riding and straighten his mounts sooner than what he did on this occasion.
When questioned regarding the performance of RED ELEGANCE, Z Purton stated that although his mount was crowded passing the 200 Metres, it was under pressure at that point and was finding it difficult to finish the race off. He said, in his opinion, RED ELEGANCE, which was only having its second race start, is still somewhat immature and did not appreciate the strong pace set throughout the middle stages of the event. A veterinary inspection of RED ELEGANCE immediately following the race which included an endoscopic examination showed a substantial amount of mucus in the horse’s trachea.
A veterinary inspection of BRILLIANT LIFE immediately following the race did not show any significant findings.
RED ELEGANCE, FLYING HIGH and PLEASANT ENDEAVOR were sent for sampling.
<8/5/2023 Additional Veterinary Reports> BRILLIANT LIFE, which performed poorly, was examined by the Veterinary Officer who said at that time there were no significant findings. BRILLIANT LIFE was again examined by the Veterinary Officer at the stables of Trainer C H Yip this morning. He said at this time he noted the horse to be lame in its left front leg with a bone injury to the left knee. Before being allowed to race again, BRILLIANT LIFE will be subjected to an official veterinary examination."
32,ST,Sha Tin,HK,2023/05/07,https://racing.hkjc.com/racing/information/English/Racing/LocalResults.aspx?RaceDate=2023/05/07&Racecourse=ST&RaceNo=10,https://racing.hkjc.com/racing/video/play.asp?type=replay-full&date=20230507&no=10&lang=eng,https://racing.hkjc.com/racing/information/English/Racing/DisplaySectionalTime.aspx?RaceDate=07/05/2023&RaceNo=10,MAGNOLIA HANDICAP,Class 3,RACE 10,,,,TURF,,,,,,1000M,,,SOFT,"HK$ 1,725,000",,12.85,33.72,,,,57.07,12.85,20.87,23.35,,,,10.13,10.74,11.35,12.00,13.05,20.79,23.30,,,,10.21,10.58,11.27,12.03,4,2,,,,2,2,,,,2,11,N,,PLEASANT ENDEAVOR,E114,,24,,1207,131,,,,P F Yiu,K C Leung,,,,,,14,0:57.14,,,"QUADRUPLE DOUBLE was withdrawn on 5.5.23 by order of the Stewards acting on veterinary advice (lame left fore) and was replaced by Standby Declared Starter MAN STAR (C Wong). Before being allowed to race again, QUADRUPLE DOUBLE will be subjected to an official veterinary examination.
TOMODACHI KOKOROE shifted in at the start and bumped CHEVAL VALIANT.
HAPPY DAILY jumped only fairly, shifted out and bumped with BRILLIANT LIFE.
CHATEAU was slow to begin.
RUN RUN COOL and INVINCIBLE SAGE were crowded on jumping between MAN STAR and PLEASANT ENDEAVOR, both of which shifted ground.
Approaching the 800 Metres, DROPS OF GOD was steadied to avoid the heels of TOMODACHI KOKOROE which was taken out by CHEAVL VALIANT (Apprentice Y L Chung). Apprentice Chung was reprimanded.
From the 400 Metres, INVINCIBLE SAGE was held up for clear running behind PLEASANT ENDEAVOR. Approaching the 200 Metres, INVINCIBLE SAGE (H Bowman) then improved into a doubtful run between BRILLIANT LIFE and PLEASANT ENDEAVOR, resulting in INVINCIBLE SAGE making contact with the hindquarters of PLEASANT ENDEAVOR, turning that runner in which resulted in INVINCIBLE SAGE being checked and taken in onto BRILLIANT LIFE and making heavy contact with BRILLIANT LIFE when that runner was racing tight to the outside of RED ELEGANCE which, after being crowded by CHEVAL VALIANT, was taken out slightly by that runner. H Bowman was severely reprimanded and advised he must ensure that there is sufficient racing room when improving into runs. Apprentice Chung was reprimanded and advised that he must stop riding and straighten his mounts sooner than what he did on this occasion.
When questioned regarding the performance of RED ELEGANCE, Z Purton stated that although his mount was crowded passing the 200 Metres, it was under pressure at that point and was finding it difficult to finish the race off. He said, in his opinion, RED ELEGANCE, which was only having its second race start, is still somewhat immature and did not appreciate the strong pace set throughout the middle stages of the event. A veterinary inspection of RED ELEGANCE immediately following the race which included an endoscopic examination showed a substantial amount of mucus in the horse’s trachea.
A veterinary inspection of BRILLIANT LIFE immediately following the race did not show any significant findings.
RED ELEGANCE, FLYING HIGH and PLEASANT ENDEAVOR were sent for sampling.
<8/5/2023 Additional Veterinary Reports> BRILLIANT LIFE, which performed poorly, was examined by the Veterinary Officer who said at that time there were no significant findings. BRILLIANT LIFE was again examined by the Veterinary Officer at the stables of Trainer C H Yip this morning. He said at this time he noted the horse to be lame in its left front leg with a bone injury to the left knee. Before being allowed to race again, BRILLIANT LIFE will be subjected to an official veterinary examination."
