競馬場コード,競馬場,国名,レース日付,レース名,レース格,レース他,レース名省略,出走条件（性別）,馬場の種類,馬場の種類（英愛）,出走条件（クラス）,出走条件（他）,出走条件（年齢）,距離,コース形態,コース詳細,馬場状態,障害数,障害レース確認,着賞金,並び順位,確定順位,異常区分,同着,着変更,ゲート番号,着差1,着差2,馬名,生産国,オッズ,馬齢,斤量,斤量特記1,斤量特記2,補助馬具,調教師,騎手,毛色,性別,父名,母名,母父名,出走頭数,優勝馬タイム,優勝馬オーナー,優勝馬生産者,コメント
46,Pontefract,,2025/07/27,British EBF Stallion Studs Maiden Stakes (GBB Race),,'GBB Race',British EBF Stallion Studs Maiden Stakes,,,,Class 4,Maiden,2yo,5f3yds,,,Good,,,,11,11,,,,6,shd,9¼,Resdev Time,GB,22/1,2,,,,,Michael & David Easterby,Billy Garritty,b,f,,,Animal Kingdom,11,,,,"Bumped start, always behind (op 18/1)"
46,Pontefract,,2025/07/27,Nick & Liz 40th Anniversary Handicap,,,Nick & Liz 40th Anniversary Handicap,,,,Class 5,,"0-70, 3yo+",1m6yds,,,Good,,,,1,1,,,,10,,,Project Geofin,GB,11/1,4,,,,,Geoff Oldroyd,P J McDonald,br,g,,,Excellent Art,10,1m 43.59s,,,"Towards rear, headway on outer over 1f out, hung left and led final 110yds, ridden out (trainer said, regarding the apparent improvement in form, that gelding benefitted from the step back up in trip to 1m from 7f and appreciated the stiff nature of the track; gelding was routine tested) (Mkt1: op 10/1 tchd 12/1)"
46,Pontefract,,2025/07/27,Nick & Liz 40th Anniversary Handicap,,,Nick & Liz 40th Anniversary Handicap,,,,Class 5,,"0-70, 3yo+",1m6yds,,,Good,,,,2,2,,,,1,1¾,,Anjo Bonita,GB,7/2,5,,,,,Sara Ender,Jonny Peate,b,m,,,Cape Cross,10,,,,"Led narrowly or disputed lead, led clearly over 1f out, headed final 110yds, kept on (Mkt1: op 11/2 tchd 5/1; Mkt2 op 9/2)"
46,Pontefract,,2025/07/27,Nick & Liz 40th Anniversary Handicap,,,Nick & Liz 40th Anniversary Handicap,,,,Class 5,,"0-70, 3yo+",1m6yds,,,Good,,,,3,3,,,,2,¾,2½,Keats House,IRE,100/30,3,,,,,Michael & David Easterby,Joanna Mason,b,g,,,Kodiac,10,,,,"Prominent, kept on final 110yds (Mkt1: op 9/2 tchd 18/5; Mkt2 op 7/2 tchd 4/1)"
46,Pontefract,,2025/07/27,Nick & Liz 40th Anniversary Handicap,,,Nick & Liz 40th Anniversary Handicap,,,,Class 5,,"0-70, 3yo+",1m6yds,,,Good,,,,4,4,,,,3,1¼,3¾,Super Hit,FR,14/1,4,,,,,Darryll Holland,Jason Hart,b,g,,,Henrythenavigator,10,,,,"Took keen hold, soon prominent, no extra final 110yds (Mkt1: op 16/1 tchd 18/1; Mkt2 op 16/1)"
46,Pontefract,,2025/07/27,Nick & Liz 40th Anniversary Handicap,,,Nick & Liz 40th Anniversary Handicap,,,,Class 5,,"0-70, 3yo+",1m6yds,,,Good,,,,5,5,,,,6,½,4¼,Eeetee,IRE,11/4F,7,,,,,John Wainwright,Jack Nicholls,b,g,,,Congaree,10,,,,"Midfield, headway over 1f out, weakened final 110yds (Mkt1: op 9/4 tchd 5/2; Mkt2 op 9/4 tchd 11/5 and tchd 3/1)"
46,Pontefract,,2025/07/27,Nick & Liz 40th Anniversary Handicap,,,Nick & Liz 40th Anniversary Handicap,,,,Class 5,,"0-70, 3yo+",1m6yds,,,Good,,,,6,6,,,,5,2¼,6½,Lovette,GB,9/1,3,,,,,Iain Jardine,Mohammed Tabti,b,f,,,Lope De Vega,10,,,,"Towards rear, some headway over 1f out, never dangerous (Mkt1: tchd 11/1; Mkt2 op 11/1)"
46,Pontefract,,2025/07/27,Nick & Liz 40th Anniversary Handicap,,,Nick & Liz 40th Anniversary Handicap,,,,Class 5,,"0-70, 3yo+",1m6yds,,,Good,,,,7,7,,,,4,nk,6¾,Testimonial,GB,11/1,3,,,,,Tim Easterby,Duran Fentiman,b,g,,,Lucky Story,10,,,,Never better than midfield (Mkt1: op 14/1; Mkt2 op 12/1)
46,Pontefract,,2025/07/27,Nick & Liz 40th Anniversary Handicap,,,Nick & Liz 40th Anniversary Handicap,,,,Class 5,,"0-70, 3yo+",1m6yds,,,Good,,,,8,8,,,,11,1¾,8½,Arkenstaar,GB,9/1,5,,,,,Michael Dods,Connor Beasley,b,g,,,Diktat,10,,,,"Taken down early, always behind (Mkt1: op 11/1 tchd 10/1; Mkt2 op 10/1 tchd 17/2)"
46,Pontefract,,2025/07/27,Nick & Liz 40th Anniversary Handicap,,,Nick & Liz 40th Anniversary Handicap,,,,Class 5,,"0-70, 3yo+",1m6yds,,,Good,,,,9,9,,,,7,½,9,Bazball,IRE,50/1,4,,,,,Joel Parkinson & Sue Smith,Tom Eaves,b,f,,,Captain Marvelous,10,,,,"Dwelt start, always behind (Mkt1: op 33/1 tchd 40/1; Mkt2 op 40/1)"
46,Pontefract,,2025/07/27,Nick & Liz 40th Anniversary Handicap,,,Nick & Liz 40th Anniversary Handicap,,,,Class 5,,"0-70, 3yo+",1m6yds,,,Good,,,,10,10,,,,8,6,15,She's Got Bottle,GB,25/1,6,,,,,Lizzie Quinlan,Daniel Tudhope,b,m,,,Tamayuz,10,,,,"Raced wide, disputed lead, weakened over 1f out (Mkt1: op 28/1; Mkt2 tchd 22/1)"
46,Pontefract,,2025/07/27,Sky Bet Pomfret Stakes (Listed Race),Listed Race,,Sky Bet Pomfret Stakes,,,,Class 1,,3yo+,1m6yds,,,Good,,,,1,1,,,,5,,,Make Me King,FR,7/2,5,,,,,Hamad Al Jehani,Daniel Tudhope,gr,g,,,Rock Of Gibraltar,6,1m 41.31s,,,"In touch with leaders, headway and pressed leader over 2f out, led and ridden over 1f out, edged left inside final furlong, kept on (op 4/1 tchd 9/2)"
46,Pontefract,,2025/07/27,Sky Bet Pomfret Stakes (Listed Race),Listed Race,,Sky Bet Pomfret Stakes,,,,Class 1,,3yo+,1m6yds,,,Good,,,,2,2,,,,1,1¼,,Cicero's Gift,GB,9/2,5,,,,,Charles Hills,Jason Watson,b,g,,,Diktat,6,,,,"Held up in rear, headway on outer 2f out, edged left and went second inside final furlong, kept on (op 5/1)"
46,Pontefract,,2025/07/27,Sky Bet Pomfret Stakes (Listed Race),Listed Race,,Sky Bet Pomfret Stakes,,,,Class 1,,3yo+,1m6yds,,,Good,,,,3,3,,,,3,1¼,2½,Checkandchallenge,GB,12/1,6,,,,,William Knight,Callum Shepherd,bb,g,,,Dalakhani,6,,,,"Slowly away, in rear, headway final 110yds, nearest finish (jockey said gelding was slowly away) (op 11/1)"
46,Pontefract,,2025/07/27,Sky Bet Pomfret Stakes (Listed Race),Listed Race,,Sky Bet Pomfret Stakes,,,,Class 1,,3yo+,1m6yds,,,Good,,,,4,4,,,,2,nk,2¾,Boiling Point,IRE,11/2,4,,,,,K R Burke,Clifford Lee,b,c,,,Shamardal,6,,,,"In touch with leaders on inner, steady headway 3f out, no extra final 110yds (op 9/2)"
46,Pontefract,,2025/07/27,Sky Bet Pomfret Stakes (Listed Race),Listed Race,,Sky Bet Pomfret Stakes,,,,Class 1,,3yo+,1m6yds,,,Good,,,,5,5,,,,6,¾,3½,Prague,IRE,13/2,5,,,,,Dylan Cunha,Jim Crowley,b,h,,,Holy Roman Emperor,6,,,,"Took keen hold, raced wide early, led, rallied when headed over 1f out, weakened inside final 110yds (op 6/1)"
46,Pontefract,,2025/07/27,Sky Bet Pomfret Stakes (Listed Race),Listed Race,,Sky Bet Pomfret Stakes,,,,Class 1,,3yo+,1m6yds,,,Good,,,,6,6,,,,4,1¼,4¾,Point Lynas,IRE,15/8F,6,,,,,Edward Bethell,Callum Rodriguez,b,g,,,Dansili,6,,,,"Took keen hold, pressed leader, weakened over 1f out (jockey said gelding ran flat and had no more to give; vet examined gelding post-race and had nothing to report) (tchd 7/4)"
46,Pontefract,,2025/07/27,Pontefract And District Golf Club Ltd Handicap (GBBPlus Race),,'GBBPlus Race',Pontefract And District Golf Club Ltd Handicap,,,,Class 4,,"0-78, 3yo+",1m2f5yds,,,Good,,,,1,1,,,,2,,,Raulin,IRE,85/40F,3,,,,,David O'Meara,Daniel Tudhope,b,g,,,Lope De Vega,9,2m 13.11s,,,"Made all, pestered throughout, ridden against far rail over 1f out, kept on well towards finish (op 11/4)"
46,Pontefract,,2025/07/27,Pontefract And District Golf Club Ltd Handicap (GBBPlus Race),,'GBBPlus Race',Pontefract And District Golf Club Ltd Handicap,,,,Class 4,,"0-78, 3yo+",1m2f5yds,,,Good,,,,2,2,,,,4,½,,Dawn Of Liberation,IRE,13/2,6,,,,,Ruth Carr,Warren Fentiman,b,g,,,Danetime,9,,,,"Pressed winner throughout, no extra towards finish (op 5/1 tchd 7/1)"
46,Pontefract,,2025/07/27,Pontefract And District Golf Club Ltd Handicap (GBBPlus Race),,'GBBPlus Race',Pontefract And District Golf Club Ltd Handicap,,,,Class 4,,"0-78, 3yo+",1m2f5yds,,,Good,,,,3,3,,,,6,¾,1¼,Time Tells All,IRE,5/1,5,,,,,Declan Carroll,Zak Wheatley,b,g,,,Dubawi,9,,,,"Towards rear, headway over 1f out, pressed leaders inside final 110yds, did well in the circumstances (op 11/2)"
46,Pontefract,,2025/07/27,Pontefract And District Golf Club Ltd Handicap (GBBPlus Race),,'GBBPlus Race',Pontefract And District Golf Club Ltd Handicap,,,,Class 4,,"0-78, 3yo+",1m2f5yds,,,Good,,,,4,4,,,,7,1¾,3,Masekela,IRE,10/1,6,,,,,Tim Easterby,David Allan,b,g,,,Doyen,9,,,,"Prominent, no extra final 110yds (op 6/1)"
46,Pontefract,,2025/07/27,Pontefract And District Golf Club Ltd Handicap (GBBPlus Race),,'GBBPlus Race',Pontefract And District Golf Club Ltd Handicap,,,,Class 4,,"0-78, 3yo+",1m2f5yds,,,Good,,,,5,5,,,,8,nk,3¼,Up The Jazz,IRE,15/2,4,,,,,Richard Fahey,Oisin Orr,b,g,,,Red Ransom,9,,,,"In rear, headway on outer over 1f out, kept on final 110yds, nearest finish (tchd 7/1)"
46,Pontefract,,2025/07/27,Pontefract And District Golf Club Ltd Handicap (GBBPlus Race),,'GBBPlus Race',Pontefract And District Golf Club Ltd Handicap,,,,Class 4,,"0-78, 3yo+",1m2f5yds,,,Good,,,,6,6,,,,1,2¾,6,Pol Roger,IRE,4/1,5,,,,,Michael Dods,Connor Beasley,b,g,,,Mastercraftsman,9,,,,"Took keen hold, prominent, weakened final 110yds (tchd 9/2)"
46,Pontefract,,2025/07/27,Pontefract And District Golf Club Ltd Handicap (GBBPlus Race),,'GBBPlus Race',Pontefract And District Golf Club Ltd Handicap,,,,Class 4,,"0-78, 3yo+",1m2f5yds,,,Good,,,,7,7,,,,9,¾,6¾,Desert Emperor,GB,25/1,8,,,,,Michael & David Easterby,Joanna Mason,b,g,,,Big Shuffle,9,,,,"In rear, headway on outer over 1f out, not reach leaders (op 22/1)"
46,Pontefract,,2025/07/27,Pontefract And District Golf Club Ltd Handicap (GBBPlus Race),,'GBBPlus Race',Pontefract And District Golf Club Ltd Handicap,,,,Class 4,,"0-78, 3yo+",1m2f5yds,,,Good,,,,8,8,,,,3,1¼,8,Sayf Al Dawla,GB,66/1,7,,,,,Joel Parkinson & Sue Smith,Tom Eaves,b,g,,,Efisio,9,,,,"Dwelt start, always behind (op 40/1)"
46,Pontefract,,2025/07/27,Pontefract And District Golf Club Ltd Handicap (GBBPlus Race),,'GBBPlus Race',Pontefract And District Golf Club Ltd Handicap,,,,Class 4,,"0-78, 3yo+",1m2f5yds,,,Good,,,,9,9,,,,5,7,15,Looks Fantastic,GB,10/1,3,,,,,Edward Bethell,Callum Rodriguez,b,g,,,Tertullian,9,,,,"In touch with leaders, edged left and weakened over 1f out"
46,Pontefract,,2025/07/27,JCT600 Kia Castleford Maiden Stakes (GBB Race),,'GBB Race',JCT600 Kia Castleford Maiden Stakes,,,,Class 5,Maiden,3yo+,1m6yds,,,Good,,,,1,1,,,,8,,,Charming Princess,IRE,2/5F,3,,,,,Ralph Beckett,Rossa Ryan,br,f,,,Danehill Dancer,7,1m 44.83s,,,"Took keen hold, made all, pestered throughout, ridden and clear with one other when edged right inside final furlong, kept on (tchd 4/11)"
46,Pontefract,,2025/07/27,JCT600 Kia Castleford Maiden Stakes (GBB Race),,'GBB Race',JCT600 Kia Castleford Maiden Stakes,,,,Class 5,Maiden,3yo+,1m6yds,,,Good,,,,2,2,,,,5,¾,,Goodwood Mogul,GB,11/1,3,,,,,Marcus Tregoning,Clifford Lee,b,g,,,Galileo,7,,,,"Took keen hold, pressed winner throughout, went clear with winner inside final furlong, no extra towards finish"
46,Pontefract,,2025/07/27,JCT600 Kia Castleford Maiden Stakes (GBB Race),,'GBB Race',JCT600 Kia Castleford Maiden Stakes,,,,Class 5,Maiden,3yo+,1m6yds,,,Good,,,,3,3,,,,3,3¾,4½,Golden Horse,IRE,3/1,3,,,,,William Haggas,Tom Marquand,ch,g,,,Dawn Approach,7,,,,"Dwelt start, in rear, headway over 2f out, hung left over 1f out, soon no extra"
46,Pontefract,,2025/07/27,JCT600 Kia Castleford Maiden Stakes (GBB Race),,'GBB Race',JCT600 Kia Castleford Maiden Stakes,,,,Class 5,Maiden,3yo+,1m6yds,,,Good,,,,4,4,,,,6,4,8½,The Northern Lord,GB,14/1,3,,,,,Hugo Palmer,Jason Hart,b,g,,,Lawman,7,,,,"Ducked right start, raced in last, brief headway over 1f out, never dangerous (op 22/1)"
46,Pontefract,,2025/07/27,JCT600 Kia Castleford Maiden Stakes (GBB Race),,'GBB Race',JCT600 Kia Castleford Maiden Stakes,,,,Class 5,Maiden,3yo+,1m6yds,,,Good,,,,5,5,,,,1,12,20½,Omon Vase,GB,80/1,3,,,,,Kevin Frost,Ben Sanderson,b,g,,,Xtension,7,,,,"Took keen hold, prominent, weakened 2f out"
46,Pontefract,,2025/07/27,JCT600 Kia Castleford Maiden Stakes (GBB Race),,'GBB Race',JCT600 Kia Castleford Maiden Stakes,,,,Class 5,Maiden,3yo+,1m6yds,,,Good,,,,6,6,,,,4,¾,21¼,Timely Approach,GB,300/1,5,,,,,Tracy Waggott,William Pyle,b,g,,,Teofilo,7,,,,"In touch with leaders, weakened over 2f out (op 250/1)"
46,Pontefract,,2025/07/27,JCT600 Kia Castleford Maiden Stakes (GBB Race),,'GBB Race',JCT600 Kia Castleford Maiden Stakes,,,,Class 5,Maiden,3yo+,1m6yds,,,Good,,,,7,94,UR,,,7,,,Ettore,IRE,50/1,3,,,,,Roger Varian,Aidan Keeley,b,c,,,Cape Cross,7,,,,Bumped and unseated rider start (op 33/1)
46,Pontefract,,2025/07/27,Always Trying Racing Syndicate Handicap,,,Always Trying Racing Syndicate Handicap,,,,Class 4,,"0-82, 3yo+",5f3yds,,,Good,,,,1,1,,,,4,,,Brummell,IRE,7/1,4,,,,,Julie Camacho,Ryan Sexton,b,g,,,Rock Of Gibraltar,6,1m 2.56s,,,"Taken down early, made all, pestered throughout, ridden and kept on final 110yds, just held on (trainer's rep could offer no explanation for the apparent improvement in form; gelding was routine tested) (op 6/1)"
46,Pontefract,,2025/07/27,Always Trying Racing Syndicate Handicap,,,Always Trying Racing Syndicate Handicap,,,,Class 4,,"0-82, 3yo+",5f3yds,,,Good,,,,2,2,,,,5,nse,,Ventura Express,GB,11/4,8,,,,,Paul Midgley,David Nolan,ch,g,,,Cape Cross,6,,,,"Took keen hold, prominent, pressed winner inside final furlong, just failed (op 3/1 tchd 5/2)"
46,Pontefract,,2025/07/27,Always Trying Racing Syndicate Handicap,,,Always Trying Racing Syndicate Handicap,,,,Class 4,,"0-82, 3yo+",5f3yds,,,Good,,,,3,3,,,,6,¾,¾,Elegant Erin,IRE,3/1,8,,,,,Paul Midgley,Jason Hart,b,m,,,Acclamation,6,,,,"Raced in last, headway inside final furlong, pressed leaders inside final 110yds, kept on (op 7/2 tchd 11/4)"
46,Pontefract,,2025/07/27,Always Trying Racing Syndicate Handicap,,,Always Trying Racing Syndicate Handicap,,,,Class 4,,"0-82, 3yo+",5f3yds,,,Good,,,,4,4,,,,1,1,1¾,Spirit Of Applause,GB,9/4F,5,,,,,Tim Easterby,David Allan,b,g,,,Acclamation,6,,,,"Prominent, no extra final 110yds (tchd 2/1 and tchd 5/2)"
46,Pontefract,,2025/07/27,Always Trying Racing Syndicate Handicap,,,Always Trying Racing Syndicate Handicap,,,,Class 4,,"0-82, 3yo+",5f3yds,,,Good,,,,5,5,,,,2,1¾,3½,The Actor,IRE,17/2,3,,,,,Julie Camacho,Tom Kiely-Marshall,b,g,,,Shamardal,6,,,,"Dwelt start, in rear, some headway final 110yds, not reach leaders (op 15/2 tchd 9/1)"
46,Pontefract,,2025/07/27,Always Trying Racing Syndicate Handicap,,,Always Trying Racing Syndicate Handicap,,,,Class 4,,"0-82, 3yo+",5f3yds,,,Good,,,,6,6,,,,7,1½,5,Fuji Mountain,IRE,20/1,3,,,,,Declan Carroll,Zak Wheatley,gr,g,,,Dark Angel,6,,,,"Reared start, raced wide early, soon recovered and disputed lead, weakened inside final furlong (op 16/1)"
46,Pontefract,,2025/07/27,Good Luck To The Lionesses Handicap,,,Good Luck To The Lionesses Handicap,,,,Class 6,,"0-52, 3yo+",6f,,,Good,,,,1,1,,,,8,,,Rain Cap,GB,5/1,8,,,,,John David Riches,Sean Kirrane,b,g,,,Clodovil,11,1m 15.94s,,,"Took keen hold, prominent, ridden and led inside final 110yds, ran on (op 9/2 tchd 11/2)"
46,Pontefract,,2025/07/27,Good Luck To The Lionesses Handicap,,,Good Luck To The Lionesses Handicap,,,,Class 6,,"0-52, 3yo+",6f,,,Good,,,,2,2,,,,9,1½,,Golden Prosperity,IRE,22/1,6,,,,,Tony Coyle & Kaine Wood,Andrew Breslin,ch,g,,,Rock Of Gibraltar,11,,,,"Disputed lead, led over 1f out, headed and no extra inside final 110yds"
46,Pontefract,,2025/07/27,Good Luck To The Lionesses Handicap,,,Good Luck To The Lionesses Handicap,,,,Class 6,,"0-52, 3yo+",6f,,,Good,,,,3,3,,,,4,½,2,Filey Beach,IRE,11/4F,4,,,,,Ruth Carr,James Sullivan,b,g,,,Shamardal,11,,,,"Disputed lead, lost ground over 2f out, rallied final 110yds, kept on (op 7/2)"
46,Pontefract,,2025/07/27,Good Luck To The Lionesses Handicap,,,Good Luck To The Lionesses Handicap,,,,Class 6,,"0-52, 3yo+",6f,,,Good,,,,4,4,,,,1,1¼,3¼,Lady Bouquet,GB,9/1,4,,,,,Philip Kirby,Warren Fentiman,b,f,,,Toronado,11,,,,"In touch with leaders, no extra inside final furlong (tchd 17/2)"
46,Pontefract,,2025/07/27,Good Luck To The Lionesses Handicap,,,Good Luck To The Lionesses Handicap,,,,Class 6,,"0-52, 3yo+",6f,,,Good,,,,5,5,,,,5,nse,3¼,Canaria Sun,GB,28/1,3,,,,,Tim Easterby,David Allan,b,g,,,Compton Place,11,,,,"Led narrowly or disputed lead, headed over 1f out, weakened final 110yds (op 18/1)"
46,Pontefract,,2025/07/27,Good Luck To The Lionesses Handicap,,,Good Luck To The Lionesses Handicap,,,,Class 6,,"0-52, 3yo+",6f,,,Good,,,,6,6,,,,2,1¾,5,Desert Beauty,GB,11/2,3,,,,,Dylan Cunha,Jim Crowley,b,f,,,No Nay Never,11,,,,"Dwelt start, in rear, headway inside final furlong, not reach leaders (op 9/2 tchd 7/2)"
46,Pontefract,,2025/07/27,Good Luck To The Lionesses Handicap,,,Good Luck To The Lionesses Handicap,,,,Class 6,,"0-52, 3yo+",6f,,,Good,,,,7,7,,,,13,hd,5¼,Gis A Sub,IRE,13/2,6,,,,,Paul Midgley,David Nolan,b,g,,,Sholokhov,11,,,,"In rear, headway on outer over 1f out, no extra final 110yds (op 5/1)"
46,Pontefract,,2025/07/27,Good Luck To The Lionesses Handicap,,,Good Luck To The Lionesses Handicap,,,,Class 6,,"0-52, 3yo+",6f,,,Good,,,,8,8,,,,3,nk,5½,Bibendum,GB,100/30,4,,,,,Julie Camacho,Ryan Sexton,b,g,,,Exceed And Excel,11,,,,Never better than midfield (op 9/2 tchd 5/1)
46,Pontefract,,2025/07/27,Good Luck To The Lionesses Handicap,,,Good Luck To The Lionesses Handicap,,,,Class 6,,"0-52, 3yo+",6f,,,Good,,,,9,9,,,,11,3,8½,Flavius Titus,GB,18/1,10,,,,,Danny Brooke,Rowan Scott,ch,g,,,Pivotal,11,,,,"Dwelt start, always behind (op 12/1)"
46,Pontefract,,2025/07/27,Good Luck To The Lionesses Handicap,,,Good Luck To The Lionesses Handicap,,,,Class 6,,"0-52, 3yo+",6f,,,Good,,,,10,10,,,,6,3,11½,Sporting Life,IRE,33/1,3,,,,,John & Sean Quinn,Jason Hart,b,g,,,Society Rock,11,,,,Towards rear throughout (op 22/1)
46,Pontefract,,2025/07/27,Good Luck To The Lionesses Handicap,,,Good Luck To The Lionesses Handicap,,,,Class 6,,"0-52, 3yo+",6f,,,Good,,,,11,11,,,,10,8½,20,Sharp Call,IRE,66/1,3,,,,,Michael & David Easterby,Lewis Chalkley,b,f,,,Redoute's Choice,11,,,,Always behind (op 50/1 tchd 80/1)
84,Uttoxeter,,2025/07/27,QuinnBet Daily Free Bet Juvenile Hurdle (GBB Race),,'GBB Race',QuinnBet Daily Free Bet Juvenile Hurdle,,,,Class 4,,3yo,1m7f168yds,,,Good,9 hurdles,Hurdle,,1,1,,,,,,,Dignam,IRE,2/9F,3,,,,,Joseph Patrick O'Brien,J J Slevin,b,c,,,Cacique,11,3m 56.79s,,,"Travelled strongly, midfield, steady headway after 6th, went second 2 out, led going easily last, nudged along and went clear run-in, readily"
84,Uttoxeter,,2025/07/27,QuinnBet Daily Free Bet Juvenile Hurdle (GBB Race),,'GBB Race',QuinnBet Daily Free Bet Juvenile Hurdle,,,,Class 4,,3yo,1m7f168yds,,,Good,9 hurdles,Hurdle,,2,2,,,,,7½,,Manyana Blue,GB,9/1,3,,,,,Dr Richard Newland & Jamie Insole,Sam Twiston-Davies,b,f,,,Anabaa Blue,11,,,,"Led, 4 lengths ahead 2nd, reduced lead 2 out, headed last, outpaced run-in, no match for winner (op 12/1)"
84,Uttoxeter,,2025/07/27,QuinnBet Daily Free Bet Juvenile Hurdle (GBB Race),,'GBB Race',QuinnBet Daily Free Bet Juvenile Hurdle,,,,Class 4,,3yo,1m7f168yds,,,Good,9 hurdles,Hurdle,,3,3,,,,,1¼,8¾,Genbu,GB,40/1,3,,,,,Emma Lavelle,Ben Jones,b,g,,,Trade Fair,11,,,,"Midfield, rapid headway after 3 out, went third 2 out, outpaced run-in (tchd 33/1)"
